scenario,model,explicitness,dimension,score
S1,Olmo2,Explicit,Affective,3.75
S1,Olmo2,Explicit,Cognitive,4.75
S1,Olmo2,Implicit,Affective,2.0
S1,Olmo2,Implicit,Cognitive,3.5
S1,Olmo3,Explicit,Affective,7.75
S1,Olmo3,Explicit,Cognitive,6.25
S1,Olmo3,Implicit,Affective,5.25
S1,Olmo3,Implicit,Cognitive,6.25
S10,Olmo2,Explicit,Affective,3.0
S10,Olmo2,Explicit,Cognitive,4.25
S10,Olmo2,Implicit,Affective,4.75
S10,Olmo2,Implicit,Cognitive,5.5
S10,Olmo3,Explicit,Affective,4.5
S10,Olmo3,Explicit,Cognitive,6.5
S10,Olmo3,Implicit,Affective,3.0
S10,Olmo3,Implicit,Cognitive,4.5
S11,Olmo2,Explicit,Affective,6.25
S11,Olmo2,Explicit,Cognitive,6.75
S11,Olmo2,Implicit,Affective,2.75
S11,Olmo2,Implicit,Cognitive,5.0
S11,Olmo3,Explicit,Affective,7.75
S11,Olmo3,Explicit,Cognitive,7.75
S11,Olmo3,Implicit,Affective,6.75
S11,Olmo3,Implicit,Cognitive,6.25
S12,Olmo2,Explicit,Affective,5.25
S12,Olmo2,Explicit,Cognitive,6.25
S12,Olmo2,Implicit,Affective,3.0
S12,Olmo2,Implicit,Cognitive,4.25
S12,Olmo3,Explicit,Affective,4.0
S12,Olmo3,Explicit,Cognitive,4.75
S12,Olmo3,Implicit,Affective,7.0
S12,Olmo3,Implicit,Cognitive,7.5
S13,Olmo2,Explicit,Affective,7.0
S13,Olmo2,Explicit,Cognitive,7.0
S13,Olmo2,Implicit,Affective,1.5
S13,Olmo2,Implicit,Cognitive,3.0
S13,Olmo3,Explicit,Affective,6.25
S13,Olmo3,Explicit,Cognitive,7.0
S13,Olmo3,Implicit,Affective,8.5
S13,Olmo3,Implicit,Cognitive,8.5
S14,Olmo2,Explicit,Affective,7.25
S14,Olmo2,Explicit,Cognitive,8.25
S14,Olmo2,Implicit,Affective,4.5
S14,Olmo2,Implicit,Cognitive,6.25
S14,Olmo3,Explicit,Affective,8.5
S14,Olmo3,Explicit,Cognitive,8.0
S14,Olmo3,Implicit,Affective,7.75
S14,Olmo3,Implicit,Cognitive,7.0
S15,Olmo2,Explicit,Affective,5.5
S15,Olmo2,Explicit,Cognitive,7.0
S15,Olmo2,Implicit,Affective,6.5
S15,Olmo2,Implicit,Cognitive,7.5
S15,Olmo3,Explicit,Affective,6.75
S15,Olmo3,Explicit,Cognitive,7.5
S15,Olmo3,Implicit,Affective,6.75
S15,Olmo3,Implicit,Cognitive,6.25
S16,Olmo2,Explicit,Affective,4.0
S16,Olmo2,Explicit,Cognitive,6.25
S16,Olmo2,Implicit,Affective,4.0
S16,Olmo2,Implicit,Cognitive,4.25
S16,Olmo3,Explicit,Affective,7.75
S16,Olmo3,Explicit,Cognitive,7.25
S16,Olmo3,Implicit,Affective,6.25
S16,Olmo3,Implicit,Cognitive,7.25
S17,Olmo2,Explicit,Affective,4.5
S17,Olmo2,Explicit,Cognitive,5.5
S17,Olmo2,Implicit,Affective,4.0
S17,Olmo2,Implicit,Cognitive,4.75
S17,Olmo3,Explicit,Affective,7.5
S17,Olmo3,Explicit,Cognitive,7.75
S17,Olmo3,Implicit,Affective,5.0
S17,Olmo3,Implicit,Cognitive,6.5
S18,Olmo2,Explicit,Affective,5.5
S18,Olmo2,Explicit,Cognitive,5.0
S18,Olmo2,Implicit,Affective,4.75
S18,Olmo2,Implicit,Cognitive,6.75
S18,Olmo3,Explicit,Affective,8.5
S18,Olmo3,Explicit,Cognitive,8.75
S18,Olmo3,Implicit,Affective,5.5
S18,Olmo3,Implicit,Cognitive,6.0
S19,Olmo2,Explicit,Affective,5.25
S19,Olmo2,Explicit,Cognitive,6.0
S19,Olmo2,Implicit,Affective,4.5
S19,Olmo2,Implicit,Cognitive,5.75
S19,Olmo3,Explicit,Affective,5.0
S19,Olmo3,Explicit,Cognitive,7.0
