block,rater_id,item,score,scenario,model,explicitness,dimension
1,B1_R1,S1_Olmo2_Implicit_Cognitive,1.0,S1,Olmo2,Implicit,Cognitive
1,B1_R2,S1_Olmo2_Implicit_Cognitive,4.0,S1,Olmo2,Implicit,Cognitive
1,B1_R3,S1_Olmo2_Implicit_Cognitive,2.0,S1,Olmo2,Implicit,Cognitive
1,B1_R4,S1_Olmo2_Implicit_Cognitive,7.0,S1,Olmo2,Implicit,Cognitive
1,B1_R1,S1_Olmo2_Implicit_Affective,1.0,S1,Olmo2,Implicit,Affective
1,B1_R2,S1_Olmo2_Implicit_Affective,2.0,S1,Olmo2,Implicit,Affective
1,B1_R3,S1_Olmo2_Implicit_Affective,0.0,S1,Olmo2,Implicit,Affective
1,B1_R4,S1_Olmo2_Implicit_Affective,5.0,S1,Olmo2,Implicit,Affective
1,B1_R1,S2_Olmo2_Explicit_Cognitive,6.0,S2,Olmo2,Explicit,Cognitive
1,B1_R2,S2_Olmo2_Explicit_Cognitive,8.0,S2,Olmo2,Explicit,Cognitive
1,B1_R3,S2_Olmo2_Explicit_Cognitive,8.0,S2,Olmo2,Explicit,Cognitive
1,B1_R4,S2_Olmo2_Explicit_Cognitive,6.0,S2,Olmo2,Explicit,Cognitive
1,B1_R1,S2_Olmo2_Explicit_Affective,6.0,S2,Olmo2,Explicit,Affective
1,B1_R2,S2_Olmo2_Explicit_Affective,8.0,S2,Olmo2,Explicit,Affective
1,B1_R3,S2_Olmo2_Explicit_Affective,9.0,S2,Olmo2,Explicit,Affective
1,B1_R4,S2_Olmo2_Explicit_Affective,3.0,S2,Olmo2,Explicit,Affective
1,B1_R1,S3_Olmo3_Implicit_Cognitive,9.0,S3,Olmo3,Implicit,Cognitive
1,B1_R2,S3_Olmo3_Implicit_Cognitive,7.0,S3,Olmo3,Implicit,Cognitive
1,B1_R3,S3_Olmo3_Implicit_Cognitive,5.0,S3,Olmo3,Implicit,Cognitive
1,B1_R4,S3_Olmo3_Implicit_Cognitive,6.0,S3,Olmo3,Implicit,Cognitive
1,B1_R1,S3_Olmo3_Implicit_Affective,7.0,S3,Olmo3,Implicit,Affective
1,B1_R2,S3_Olmo3_Implicit_Affective,7.0,S3,Olmo3,Implicit,Affective
1,B1_R3,S3_Olmo3_Implicit_Affective,5.0,S3,Olmo3,Implicit,Affective
1,B1_R4,S3_Olmo3_Implicit_Affective,8.0,S3,Olmo3,Implicit,Affective
1,B1_R1,S4_Olmo3_Explicit_Cognitive,10.0,S4,Olmo3,Explicit,Cognitive
1,B1_R2,S4_Olmo3_Explicit_Cognitive,8.0,S4,Olmo3,Explicit,Cognitive
1,B1_R3,S4_Olmo3_Explicit_Cognitive,9.0,S4,Olmo3,Explicit,Cognitive
1,B1_R4,S4_Olmo3_Explicit_Cognitive,7.0,S4,Olmo3,Explicit,Cognitive
1,B1_R1,S4_Olmo3_Explicit_Affective,10.0,S4,Olmo3,Explicit,Affective
1,B1_R2,S4_Olmo3_Explicit_Affective,10.0,S4,Olmo3,Explicit,Affective
1,B1_R3,S4_Olmo3_Explicit_Affective,9.0,S4,Olmo3,Explicit,Affective
1,B1_R4,S4_Olmo3_Explicit_Affective,8.0,S4,Olmo3,Explicit,Affective
1,B1_R1,S5_Olmo2_Implicit_Cognitive,3.0,S5,Olmo2,Implicit,Cognitive
1,B1_R2,S5_Olmo2_Implicit_Cognitive,4.0,S5,Olmo2,Implicit,Cognitive
1,B1_R3,S5_Olmo2_Implicit_Cognitive,6.0,S5,Olmo2,Implicit,Cognitive
1,B1_R4,S5_Olmo2_Implicit_Cognitive,6.0,S5,Olmo2,Implicit,Cognitive
